001010101111011001101100111001101,001001000110101110101001100001101
001010000000101101111100110100000,001011010100101100011001000000110
011100011111100110111111110001110,000110010100010100111011100100101
011101010000110110001001001111000,100001001101111001100001100100010
100111000011011101001000101110011,101011000100101011010011100111111
010010111111110100000001101100100,011111001001100010100000000110010
011110100110010010000011010011111,000010111001001010000000011110001
011000010011110010110010011101001,011111101001010111001110111011000
101010100111101100111010001000001,001010100110101111001110101000011
010101100010111111111110111011010,100110110010000010011000100010111
101010110111011011111110111110001,011001001101011111101110001001111
000010101111100010011010100001011,010101110111101100111101111001000
100110110110010100101001111100001,101011000011100000101010110001100
101000010010110000010101100000100,000110011010110100110010101001101
010000001000111001111111100010111,011011100101111011101111011001100
011111111100100001001100101111111,100111101101000101100000110011010
011100011110111111101110110101100,001011110101111110010101010100011
100111110001110000110101110100100,010110011100011001001100001011000
010110111101000010010100111100110,000000010110111001110100011010100
100011011001101101111100000011001,101001110111111110011111100001010
010110110011010110111101001101011,011011101011100000001011010001010
100000100101000001010010000001100,000011100001001000011111001010100
000011111000000101100101010111111,101010011001011010011010000100010
100000001111000110001111010110000,000001001100101010000001101011001
010100010101010011111110101101011,100010000101101100000110010101111
000100111001111011100010001011110,100101000101010000000001100001100
010010111100101111101011100101010,001001110100110001000000110101101
100100000101001011111011000111111,001000000101111101100111000010011
011011001011110111100110011000111,010100110100100100010100101100011
100110011001011000011110000000111,000100001010001001000001000010010
101010010000111000001100110011010,000011001101011001000111111000100
011100011001001000101111110110001,000000010101001011011000111000101
000110110001100001011101110110101,100111110100110010001110110100000
100000001101101000100000101110010,100100011000110111000010100110011
100001001110000011000010110010011,011010001001001011000010000100001
101010000011111111001010011101110,010010100010000100011111011010001
100010000011111101001111100101111,001101100010100010110011101011100
000100110010110001101010101000101,011001010101011111010101101100111
001010001110011011011110000011111,001101001110101011111011110011000
000011010111111100011110000010110,001111011101001101001010111111101
011100111110100001101110001001011,011101101100000110100110010100100
010000001011010101111101100010000,010000000111100111110110100011110
100000001100011110111110010001011,100000100100111110111101110001011
010011001011000110111100101001001,001010101011110001111011011111011
010001001010110010100011011010000,000100110100110010000100000001101
100001000000100110011101111101110,000000001101011110001010111001011
011010001111001101011001101010001,010011101100000010011000100001001
000110101010011100111011101001011,011100000110010111010011010001110
011001101010010001101001010001011,011100100110110010111111110010000
000000011010100101001111111010110,010110001101111110101011101111110
000010001001010110100011011100101,000001110111010100100111110101011
